ID,Song Name,Band,Instrumentation,Genre,Acoustic vs Electronic,Gender Voice,Bpm,YT Link
16,Me Sobren Paraules,Antònia Font,2,Pop,Acoustic,Male,160,https://www.youtube.com/watch?v=FNkfGgrxmPA&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&ab_channel=Ant%C3%B2niaFont-Topic
17,Clint Eastwood,Antònia Font,3,Pop,Acoustic,Male,82,https://www.youtube.com/watch?v=xW2pMONE10w&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=5&ab_channel=Ant%C3%B2niaFont
18,Icebergs i gèisers,Antònia Font,3,Pop,Acoustic,Male,80,https://www.youtube.com/watch?v=5jZGuwx9uC8&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=6&ab_channel=Ant%C3%B2niaFont-Topic
19,Calgary 88,Antònia Font,5,Pop,Acoustic & Electronic,Male,158,https://www.youtube.com/watch?v=TSZeqa0T0O4&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=7&ab_channel=Ant%C3%B2niaFont
20,Es far de Ses Salines,Antònia Font,3,Pop,Acoustic,Male,102,https://www.youtube.com/watch?v=DfBMq579IGQ&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=12&ab_channel=Ant%C3%B2niaFont-Topic
21,Jenifer,Catarres,4,Pop,Acoustic & Electronic,Male & Female,95,https://youtu.be/FhJR6OO1X8Y
22,Caramelles,Catarres,2,Pop,Acoustic,Male,125,https://youtu.be/KcxeiIK9VoU
23,Nou Barris,Catarres,3,Pop,Acoustic & Electronic,Male,115,https://youtu.be/bIMSKSkCxKs
24,Potser Vindré,Catarres,2,Pop,Acoustic,Male,177,https://youtu.be/qLzCwK4laVg
25,La Noia de la Plaça,Catarres,4,Pop,Acoustic & Electronic,Male,81,https://youtu.be/idh2RJtU5G8
26,Me'n Vaig al Camp,Catarres,2,Pop,Acoustic,Male,138,https://youtu.be/zBeUltLPAlE
27,Vola Amb Mi,Catarres,3,Pop,Acoustic & Electronic,Male,155,https://youtu.be/HHPQC8lf99A
28,La Barba,Catarres,4,Pop,Acoustic & Electronic,Male,135,https://youtu.be/AUi8-etw0ec
29,Tots Menys Tu,Catarres,4,Pop,Acoustic & Electronic,Male,108,https://youtu.be/GZ_Oh0kIRfA
30,Els Amants de Sant Joan,Catarres,4,Pop,Acoustic & Electronic,Male,160,https://youtu.be/FDuMIYYAISU
31,El Vell Roure,Macedònia ,2,Pop,Acoustic,Female,100,https://youtu.be/nf19CcaYxgk
32,No em Vull Fer Gran,Macedònia ,3,Pop,Electronic,Female,107,https://youtu.be/7MKUJrjRgbw
33,Posa'm un Suc,Macedònia ,5,Pop,Acoustic & Electronic,Female,112,https://youtu.be/6qJzw0ShlAE
34,Pampallugues,Macedònia ,5,Pop,Acoustic & Electronic,Female,140,https://youtu.be/67jeAum25Rk
35,És una broma,Macedònia ,2,Pop,Acoustic,Female,100,https://youtu.be/l0flIFxyc0o
36,Com el meu Gos,Macedònia ,5,Pop,Acoustic,Female,107,https://youtu.be/fBUEkAR7ZCQ
37,Puzle,Macedònia ,3,Pop,Electronic,Female,117,https://youtu.be/tcCuz1zJUyU
38,Et Cau la Baba,Macedònia ,5,Pop,Acoustic & Electronic,Female,120,https://youtu.be/1wUTtl5gJMw
39,Ànec Frederic,Macedònia ,4,Pop,Acoustic & Electronic,Female,170,https://youtu.be/ke4PClS0Ajo
40,Flipat,Macedònia ,5,Pop,Acoustic & Electronic,Female,135,https://youtu.be/bcWk0cIHEJE
41,Benvinguts,Txarango,5,Pop,Acoustic & Electronic,Male,95,https://youtu.be/N-4U8gtkXds
42,Amagada Primavera,Txarango,4,Pop,Acoustic ,Male,103,https://youtu.be/rQC-XfJc0K4
43,No Deixis de Caminar,Txarango,5,Pop,Acoustic & Electronic,Male,164,https://youtu.be/MrmFOlHT1OM
44,Sempre Balla,Txarango,5,Pop,Acoustic & Electronic,Male,144,https://youtu.be/eQb34J06bSI
45,Vola,Txarango,5,Pop,Acoustic & Electronic,Male,97,https://youtu.be/u10mICSp0kc
46,Arriba la Nit,Txarango,5,Pop,Acoustic & Electronic,Male,95,https://youtu.be/GFav2hjkLjE
47,Per Art de Màgica,Txarango,5,Pop,Acoustic ,Male,94,https://youtu.be/A9XFd-mU41M
48,La Densa del Vestit,Txarango,5,Pop,Acoustic & Electronic,Male,77,https://youtu.be/Xqw8u2NUlAs
49,Pren el Carrer,Txarango,5,Pop,Acoustic & Electronic,Male,107,https://youtu.be/mYGozcBzkdE
50,En Caravana,Txarango,4,Pop,Acoustic ,Male,136,https://youtu.be/-I5TJ5kSUIs
51,Lili Marleen,Marina Rossell i Figueras,,Folk,Acoustic ,Female,70,https://youtu.be/0ESdgvzIwc0?si=H2JBR9a3cQu5eiL7
52,"Grândola, vila morena",Marina Rossell i Figueras,,Folk,Acoustic ,Female & Male,80,https://youtu.be/4mnWb7TAkt8?si=D88-aiq_LVocp8Fr
53,Wiegala,Marina Rossell i Figueras,,Folk,Acoustic ,Female,60,https://youtu.be/bUg8W04Aahc?si=IonO7kS-XGg7jmiy
54,Paisatge de l'Ebre,Marina Rossell i Figueras,,Folk,Acoustic ,Female,75,https://youtu.be/oGps5EnL5ww?si=JTFf2Ar5gMU8o0Ht
55,"Bella, Ciao",Marina Rossell i Figueras,,Folk,Acoustic ,Female & Male,90,https://youtu.be/1g4Ob8ACU6A?si=2kew0YB7pVRr5y3_
56,Quanta guerra!,Marina Rossell i Figueras,,Folk,Acoustic ,Female,65,https://www.youtube.com/watch?v=KNw0OvKPzOg&list=PLij0Wu_VmOxiVH9T-L9AL6kuIaRwAYVkb&index=13
57,Cant dels partisans francesos,Marina Rossell i Figueras,,Folk,Acoustic ,Female,85,https://www.youtube.com/watch?v=PQ4Y7r7AqSo&list=PLij0Wu_VmOxiVH9T-L9AL6kuIaRwAYVkb&index=11
58,Cant de revolta grec,Marina Rossell i Figueras,,Folk,Acoustic ,Female,70,https://www.youtube.com/watch?v=yQMBaloQkmQ&list=PLij0Wu_VmOxiVH9T-L9AL6kuIaRwAYVkb&index=8
59,Morir a Ravensbrück,Marina Rossell i Figueras,,Folk,Acoustic ,Female,60,https://www.youtube.com/watch?v=wkEQwB2Pwko&list=PLij0Wu_VmOxiVH9T-L9AL6kuIaRwAYVkb&index=9
60,Zemlianka,Marina Rossell i Figueras,,Folk,Acoustic ,Female,65,https://www.youtube.com/watch?v=GymeXscsC4o&list=PLij0Wu_VmOxiVH9T-L9AL6kuIaRwAYVkb&index=10
